model_key experiment_key datetime comment1 comment2 comment3 dataset case_tuple case compare_MSE prediction_MSE MSE_ratio model_type model_subtype data_dir result_dir predict_days label_as_signal input_len epochs batch_size learning_rate training_time layers num_params extreme_detail
dummy 0 dummy dummy dummy dummy dummy dummy dummy dummy dummy dummy dummy dummy dummy dummy dummy dummy dummy dummy dummy dummy dummy dummy dummy dummy
dummy 1 dummy dummy dummy dummy dummy dummy dummy dummy dummy dummy dummy dummy dummy dummy dummy dummy dummy dummy dummy dummy dummy dummy dummy dummy
dummy 2 dummy dummy dummy dummy dummy dummy dummy dummy dummy dummy dummy dummy dummy dummy dummy dummy dummy dummy dummy dummy dummy dummy dummy dummy
dummy 3 dummy dummy dummy dummy dummy dummy dummy dummy dummy dummy dummy dummy dummy dummy dummy dummy dummy dummy dummy dummy dummy dummy dummy dummy
dummy 4 dummy dummy dummy dummy dummy dummy dummy dummy dummy dummy dummy dummy dummy dummy dummy dummy dummy dummy dummy dummy dummy dummy dummy dummy
dummy 5 dummy dummy dummy dummy dummy dummy dummy dummy dummy dummy dummy dummy dummy dummy dummy dummy dummy dummy dummy dummy dummy dummy dummy dummy
0 5 2017-08-1609:01:00.913603 Test CNN na SY-MA.mat (0,325,357,488,0) (488,) 3019.62372644 9956.4758035 3.29725711065 CNN CNN /home/schin/Mercury/Chin/DATA/2017-05-08_data/ /home/schin/Mercury/Chin/Results/spearmint/0815/SY-MA_change_days/1/0/case0/ 1 True 30 1 19 3.09e-05 2.129425525665283 ['Conv1D','MaxPooling1D','Dropout','Conv1D','Dropout','Conv1D','MaxPooling1D','Flatten','Dense'] 54051 [{'config':{'trainable':True,'strides':[1],'filters':50,'bias_initializer':{'config':{},'class_name':'Zeros'},'padding':'valid','kernel_size':[7],'use_bias':True,'kernel_initializer':{'config':{'mode':'fan_avg','distribution':'uniform','seed':None,'scale':1.0},'class_name':'VarianceScaling'},'dtype':'float32','bias_regularizer':None,'activation':'relu','dilation_rate':[1],'batch_input_shape':[None,30,24],'activity_regularizer':None,'kernel_regularizer':{'config':{'l1':0.0,'l2':0.0},'class_name':'L1L2'},'kernel_constraint':None,'bias_constraint':None,'name':'conv1d_1'},'class_name':'Conv1D'},{'config':{'trainable':True,'strides':[2],'padding':'valid','pool_size':[2],'name':'max_pooling1d_1'},'class_name':'MaxPooling1D'},{'config':{'trainable':True,'rate':0.1,'name':'dropout_1'},'class_name':'Dropout'},{'config':{'trainable':True,'strides':[1],'filters':100,'bias_initializer':{'config':{},'class_name':'Zeros'},'padding':'valid','kernel_size':[3],'use_bias':True,'bias_regularizer':None,'activation':'relu','dilation_rate':[1],'kernel_initializer':{'config':{'mode':'fan_avg','distribution':'uniform','seed':None,'scale':1.0},'class_name':'VarianceScaling'},'activity_regularizer':None,'kernel_regularizer':{'config':{'l1':0.0,'l2':0.0},'class_name':'L1L2'},'kernel_constraint':None,'bias_constraint':None,'name':'conv1d_2'},'class_name':'Conv1D'},{'config':{'trainable':True,'rate':0.1,'name':'dropout_2'},'class_name':'Dropout'},{'config':{'trainable':True,'strides':[1],'filters':100,'bias_initializer':{'config':{},'class_name':'Zeros'},'padding':'valid','kernel_size':[3],'use_bias':True,'bias_regularizer':None,'activation':'relu','dilation_rate':[1],'kernel_initializer':{'config':{'mode':'fan_avg','distribution':'uniform','seed':None,'scale':1.0},'class_name':'VarianceScaling'},'activity_regularizer':None,'kernel_regularizer':{'config':{'l1':0.0,'l2':0.0},'class_name':'L1L2'},'kernel_constraint':None,'bias_constraint':None,'name':'conv1d_3'},'class_name':'Conv1D'},{'config':{'trainable':True,'strides':[2],'padding':'valid','pool_size':[2],'name':'max_pooling1d_2'},'class_name':'MaxPooling1D'},{'config':{'trainable':True,'name':'flatten_1'},'class_name':'Flatten'},{'config':{'trainable':True,'activity_regularizer':None,'kernel_initializer':{'config':{'mode':'fan_avg','distribution':'uniform','seed':None,'scale':1.0},'class_name':'VarianceScaling'},'bias_initializer':{'config':{},'class_name':'Zeros'},'kernel_constraint':None,'bias_regularizer':None,'activation':'relu','units':1,'kernel_regularizer':None,'use_bias':True,'bias_constraint':None,'name':'dense_1'},'class_name':'Dense'}]
dummy 6 dummy dummy dummy dummy dummy dummy dummy dummy dummy dummy dummy dummy dummy dummy dummy dummy dummy dummy dummy dummy dummy dummy dummy dummy
0 6 2017-08-1609:01:01.963181 Test CNN na SY-MA.mat (0,325,357,488,0) (488,) 3019.62372644 9943.45262723 3.29294426327 CNN CNN /home/schin/Mercury/Chin/DATA/2017-05-08_data/ /home/schin/Mercury/Chin/Results/spearmint/0815/SY-MA_change_days/1/0/case0/ 1 True 30 1 19 3.09e-05 0.671065092086792 ['Conv1D','MaxPooling1D','Dropout','Conv1D','Dropout','Conv1D','MaxPooling1D','Flatten','Dense'] 54051 [{'config':{'trainable':True,'strides':[1],'filters':50,'bias_initializer':{'config':{},'class_name':'Zeros'},'padding':'valid','kernel_size':[7],'use_bias':True,'kernel_initializer':{'config':{'mode':'fan_avg','distribution':'uniform','seed':None,'scale':1.0},'class_name':'VarianceScaling'},'dtype':'float32','bias_regularizer':None,'activation':'relu','dilation_rate':[1],'batch_input_shape':[None,30,24],'activity_regularizer':None,'kernel_regularizer':{'config':{'l1':0.0,'l2':0.0},'class_name':'L1L2'},'kernel_constraint':None,'bias_constraint':None,'name':'conv1d_4'},'class_name':'Conv1D'},{'config':{'trainable':True,'strides':[2],'padding':'valid','pool_size':[2],'name':'max_pooling1d_3'},'class_name':'MaxPooling1D'},{'config':{'trainable':True,'rate':0.1,'name':'dropout_3'},'class_name':'Dropout'},{'config':{'trainable':True,'strides':[1],'filters':100,'bias_initializer':{'config':{},'class_name':'Zeros'},'padding':'valid','kernel_size':[3],'use_bias':True,'bias_regularizer':None,'activation':'relu','dilation_rate':[1],'kernel_initializer':{'config':{'mode':'fan_avg','distribution':'uniform','seed':None,'scale':1.0},'class_name':'VarianceScaling'},'activity_regularizer':None,'kernel_regularizer':{'config':{'l1':0.0,'l2':0.0},'class_name':'L1L2'},'kernel_constraint':None,'bias_constraint':None,'name':'conv1d_5'},'class_name':'Conv1D'},{'config':{'trainable':True,'rate':0.1,'name':'dropout_4'},'class_name':'Dropout'},{'config':{'trainable':True,'strides':[1],'filters':100,'bias_initializer':{'config':{},'class_name':'Zeros'},'padding':'valid','kernel_size':[3],'use_bias':True,'bias_regularizer':None,'activation':'relu','dilation_rate':[1],'kernel_initializer':{'config':{'mode':'fan_avg','distribution':'uniform','seed':None,'scale':1.0},'class_name':'VarianceScaling'},'activity_regularizer':None,'kernel_regularizer':{'config':{'l1':0.0,'l2':0.0},'class_name':'L1L2'},'kernel_constraint':None,'bias_constraint':None,'name':'conv1d_6'},'class_name':'Conv1D'},{'config':{'trainable':True,'strides':[2],'padding':'valid','pool_size':[2],'name':'max_pooling1d_4'},'class_name':'MaxPooling1D'},{'config':{'trainable':True,'name':'flatten_2'},'class_name':'Flatten'},{'config':{'trainable':True,'activity_regularizer':None,'kernel_initializer':{'config':{'mode':'fan_avg','distribution':'uniform','seed':None,'scale':1.0},'class_name':'VarianceScaling'},'bias_initializer':{'config':{},'class_name':'Zeros'},'kernel_constraint':None,'bias_regularizer':None,'activation':'relu','units':1,'kernel_regularizer':None,'use_bias':True,'bias_constraint':None,'name':'dense_2'},'class_name':'Dense'}]
dummy 7 dummy dummy dummy dummy dummy dummy dummy dummy dummy dummy dummy dummy dummy dummy dummy dummy dummy dummy dummy dummy dummy dummy dummy dummy
0 7 2017-08-1609:01:03.150164 Test CNN na SY-MA.mat (0,325,357,488,0) (488,) 3019.62372644 9962.78279919 3.29934578005 CNN CNN /home/schin/Mercury/Chin/DATA/2017-05-08_data/ /home/schin/Mercury/Chin/Results/spearmint/0815/SY-MA_change_days/1/0/case0/ 1 True 30 1 19 3.09e-05 0.7512359619140625 ['Conv1D','MaxPooling1D','Dropout','Conv1D','Dropout','Conv1D','MaxPooling1D','Flatten','Dense'] 54051 [{'config':{'trainable':True,'strides':[1],'filters':50,'bias_initializer':{'config':{},'class_name':'Zeros'},'padding':'valid','kernel_size':[7],'use_bias':True,'kernel_initializer':{'config':{'mode':'fan_avg','distribution':'uniform','seed':None,'scale':1.0},'class_name':'VarianceScaling'},'dtype':'float32','bias_regularizer':None,'activation':'relu','dilation_rate':[1],'batch_input_shape':[None,30,24],'activity_regularizer':None,'kernel_regularizer':{'config':{'l1':0.0,'l2':0.0},'class_name':'L1L2'},'kernel_constraint':None,'bias_constraint':None,'name':'conv1d_7'},'class_name':'Conv1D'},{'config':{'trainable':True,'strides':[2],'padding':'valid','pool_size':[2],'name':'max_pooling1d_5'},'class_name':'MaxPooling1D'},{'config':{'trainable':True,'rate':0.1,'name':'dropout_5'},'class_name':'Dropout'},{'config':{'trainable':True,'strides':[1],'filters':100,'bias_initializer':{'config':{},'class_name':'Zeros'},'padding':'valid','kernel_size':[3],'use_bias':True,'bias_regularizer':None,'activation':'relu','dilation_rate':[1],'kernel_initializer':{'config':{'mode':'fan_avg','distribution':'uniform','seed':None,'scale':1.0},'class_name':'VarianceScaling'},'activity_regularizer':None,'kernel_regularizer':{'config':{'l1':0.0,'l2':0.0},'class_name':'L1L2'},'kernel_constraint':None,'bias_constraint':None,'name':'conv1d_8'},'class_name':'Conv1D'},{'config':{'trainable':True,'rate':0.1,'name':'dropout_6'},'class_name':'Dropout'},{'config':{'trainable':True,'strides':[1],'filters':100,'bias_initializer':{'config':{},'class_name':'Zeros'},'padding':'valid','kernel_size':[3],'use_bias':True,'bias_regularizer':None,'activation':'relu','dilation_rate':[1],'kernel_initializer':{'config':{'mode':'fan_avg','distribution':'uniform','seed':None,'scale':1.0},'class_name':'VarianceScaling'},'activity_regularizer':None,'kernel_regularizer':{'config':{'l1':0.0,'l2':0.0},'class_name':'L1L2'},'kernel_constraint':None,'bias_constraint':None,'name':'conv1d_9'},'class_name':'Conv1D'},{'config':{'trainable':True,'strides':[2],'padding':'valid','pool_size':[2],'name':'max_pooling1d_6'},'class_name':'MaxPooling1D'},{'config':{'trainable':True,'name':'flatten_3'},'class_name':'Flatten'},{'config':{'trainable':True,'activity_regularizer':None,'kernel_initializer':{'config':{'mode':'fan_avg','distribution':'uniform','seed':None,'scale':1.0},'class_name':'VarianceScaling'},'bias_initializer':{'config':{},'class_name':'Zeros'},'kernel_constraint':None,'bias_regularizer':None,'activation':'relu','units':1,'kernel_regularizer':None,'use_bias':True,'bias_constraint':None,'name':'dense_3'},'class_name':'Dense'}]
dummy 8 dummy dummy dummy dummy dummy dummy dummy dummy dummy dummy dummy dummy dummy dummy dummy dummy dummy dummy dummy dummy dummy dummy dummy dummy
